device,input_mode,n,logn,log_domain,requested_qbits,actual_qbits,noise_mode,spfss_domain,c,t,chunk_size,iters,validation,host_validation,spfss_pair_key_bytes,spfss_keygen_us,ole_expand_mean_us,ole_expand_std_us,correct
cuda_ringlpn_ole,figure2_spfss_regular,16384,14,11,64,62,regular,2048,4,16,8192,3,pass,skipped,1842432,43043,68351.7,1279.1,1
cuda_ringlpn_ole,figure2_spfss_regular,16384,14,11,128,124,regular,2048,4,16,8192,3,pass,skipped,3684864,84682,133255,308.013,1
