device,n,logn,requested_qbits,actual_qbits,batch_size,iters,validation,ntt_mean_us,ntt_std_us,intt_mean_us,intt_std_us,poly_mul_mean_us,poly_mul_std_us,correct
cuda,8192,13,128,124,64,400,pass,162.784,3.08228,157.132,2.68926,489.003,8.39372,1
cuda,16384,14,128,124,64,400,pass,215.725,0.967974,207.176,0.803244,651.881,1.87723,1
cuda,32768,15,128,124,64,400,pass,319.555,2.16961,306.123,1.60658,1071.42,4.49373,1
cuda,65536,16,128,124,16,200,pass,120.168,3.58157,77.1816,3.16034,287.539,7.64539,1
cuda,131072,17,128,124,16,200,pass,310.035,3.68769,302.886,3.49864,1051,10.1931,1
cuda,262144,18,128,124,8,80,pass,305.221,8.47559,304.798,8.66607,980.189,21.4023,1
cuda,524288,19,128,124,4,30,pass,309.732,8.70597,304.119,9.6456,991.207,23.6464,1
cuda,1048576,20,128,124,2,10,pass,306.95,0.976789,296.621,1.19872,988.307,3.00945,1
