device,n,logn,requested_qbits,actual_qbits,batch_size,iters,validation,ntt_mean_us,ntt_std_us,intt_mean_us,intt_std_us,poly_mul_mean_us,poly_mul_std_us,correct
cuda,8192,13,64,62,64,400,pass,88.1657,2.43167,82.0802,2.26072,259.095,6.76291,1
cuda,16384,14,64,62,64,400,pass,109.153,1.23446,103.274,1.97232,328.031,3.17268,1
cuda,32768,15,64,62,64,400,pass,161.938,2.52422,147.802,2.1169,477.469,6.17132,1
cuda,65536,16,64,62,16,200,pass,46.1482,0.818377,40.3488,0.54587,133.091,1.28968,1
cuda,131072,17,64,62,16,200,pass,155.959,1.61216,147.932,1.44888,456.04,4.02208,1
cuda,262144,18,64,62,8,80,pass,156.666,1.95416,147.324,1.88625,455.702,5.76991,1
cuda,524288,19,64,62,4,30,pass,157.981,0.724472,145.505,1.28262,456.362,3.01576,1
cuda,1048576,20,64,62,2,10,pass,166.483,1.27094,153.613,0.60854,477.402,1.2595,1
