device,input_mode,bin,n,chunk_size,iters,validation,full_pair_key_bytes,partial_peak_pair_key_bytes,partial_total_pair_key_bytes,peak_reduction,total_bytes_multiplier,full_pair_keygen_mean_us,full_pair_keygen_std_us,partial_pair_keygen_mean_us,partial_pair_keygen_std_us,keygen_time_overhead,correct
cuda_dpf_online,eval_all,16,8192,8192,100,pass,2949168,2949168,2949168,1,1,269.92,1.33177,268.75,1.04283,0.995665,1
cuda_dpf_online,eval_all,16,16384,8192,100,pass,5898288,2949168,5898336,1.99998,1.00001,378.9,1.67033,523.33,1.95987,1.38118,1
cuda_dpf_online,eval_all,16,32768,8192,100,pass,11796528,2949168,11796672,3.99995,1.00001,689.5,1.41067,1057.27,6.72734,1.53339,1
cuda_dpf_online,eval_all,16,65536,8192,50,pass,23593008,2949168,23593344,7.99989,1.00001,1235.28,2.14513,2107.64,83.7925,1.7062,1
cuda_dpf_online,eval_all,16,131072,8192,50,pass,47185968,2949168,47186688,15.9998,1.00002,2402.64,1.70599,4180.98,8.88705,1.74016,1
cuda_dpf_online,eval_all,16,262144,8192,20,pass,94371888,2949168,94373376,31.9995,1.00002,4666.9,1.97231,8364.7,14.0146,1.79235,1
cuda_dpf_online,eval_all,16,524288,8192,10,pass,188743728,2949168,188746752,63.999,1.00002,9177.5,3.55668,16723.2,16.9753,1.8222,1
cuda_dpf_online,eval_all,16,1048576,8192,3,pass,377487408,2949168,377493504,127.998,1.00002,18242.7,0.471405,33458.7,10.3387,1.83409,1
