tier,scheme,field,field_storage_bits,log_domain,points,seed,keygen_us,party0_full_eval_us,party1_full_eval_us,full_eval_serial_us,attempts,key_bytes_both,keygen_peak_extra_bytes,eval_peak_extra_bytes,output_bytes_per_party,validation
preliminary_candidate_regular,big_state,goldilocks_x2,128,11,14,1,141.007,164.402,134.519,298.921,1,268912,283584,262176,32768,pass
preliminary_candidate_regular,okvs,goldilocks_x2,128,11,14,1,475.911,415.359,403.729,819.088,1,418160,431420,100352,32768,pass
preliminary_candidate_regular,dpf,goldilocks_x2,128,11,15,1,15.153,589.484,564.033,1153.517,1,7680,7680,204800,32768,pass
preliminary_candidate_regular,big_state,goldilocks_x2,128,11,15,1,159.372,164.882,135.918,300.800,1,314736,329552,262176,32768,pass
preliminary_candidate_regular,okvs,goldilocks_x2,128,11,15,1,494.829,436.961,405.137,842.098,1,418160,431470,100352,32768,pass
preliminary_candidate_regular,dpf,goldilocks_x2,128,11,16,1,15.859,607.696,600.279,1207.975,1,8192,8192,204800,32768,pass
preliminary_candidate_regular,big_state,goldilocks_x2,128,11,16,1,187.919,160.552,140.834,301.386,1,405616,420576,262176,32768,pass
preliminary_candidate_regular,okvs,goldilocks_x2,128,11,16,1,610.247,461.944,454.927,916.871,1,366656,380016,100352,32768,pass
preliminary_candidate_regular,dpf,goldilocks_x2,128,11,1,2,2.065,73.839,51.052,124.891,1,512,512,204800,32768,pass
preliminary_candidate_regular,big_state,goldilocks_x2,128,11,1,2,18.772,160.425,125.537,285.962,1,7536,8576,262176,32768,pass
preliminary_candidate_regular,okvs,goldilocks_x2,128,11,1,2,202.093,420.057,412.038,832.095,1,573760,574610,100352,32768,pass
preliminary_candidate_regular,dpf,goldilocks_x2,128,11,2,2,5.759,117.343,86.121,203.464,1,1024,1024,204800,32768,pass
preliminary_candidate_regular,big_state,goldilocks_x2,128,11,2,2,23.127,138.127,110.625,248.752,1,10528,12496,262176,32768,pass
preliminary_candidate_regular,okvs,goldilocks_x2,128,11,2,2,184.757,418.755,436.267,855.022,1,521808,523492,100352,32768,pass
preliminary_candidate_regular,dpf,goldilocks_x2,128,11,3,2,4.665,149.041,118.105,267.146,1,1536,1536,204800,32768,pass
preliminary_candidate_regular,big_state,goldilocks_x2,128,11,3,2,32.929,157.989,126.265,284.254,1,15040,18720,262176,32768,pass
preliminary_candidate_regular,okvs,goldilocks_x2,128,11,3,2,200.999,426.472,403.960,830.432,1,521808,525110,100352,32768,pass
preliminary_candidate_regular,dpf,goldilocks_x2,128,11,4,2,5.194,185.116,155.914,341.030,1,2048,2048,204800,32768,pass
preliminary_candidate_regular,big_state,goldilocks_x2,128,11,4,2,36.628,140.890,112.275,253.165,1,23136,26960,262176,32768,pass
preliminary_candidate_regular,okvs,goldilocks_x2,128,11,4,2,203.936,414.518,399.979,814.497,1,469920,473272,100352,32768,pass
preliminary_candidate_regular,dpf,goldilocks_x2,128,11,5,2,6.075,220.959,187.852,408.811,1,2560,2560,204800,32768,pass
preliminary_candidate_regular,big_state,goldilocks_x2,128,11,5,2,44.803,140.294,111.331,251.625,1,36784,40752,262176,32768,pass
preliminary_candidate_regular,okvs,goldilocks_x2,128,11,5,2,218.983,421.292,404.792,826.084,1,469920,473322,100352,32768,pass
preliminary_candidate_regular,dpf,goldilocks_x2,128,11,6,2,6.746,251.603,231.370,482.973,1,3072,3072,204800,32768,pass
preliminary_candidate_regular,big_state,goldilocks_x2,128,11,6,2,58.423,137.475,111.293,248.768,1,63232,70480,262176,32768,pass
preliminary_candidate_regular,okvs,goldilocks_x2,128,11,6,2,262.133,476.735,463.353,940.088,1,469920,476508,100352,32768,pass
preliminary_candidate_regular,dpf,goldilocks_x2,128,11,7,2,7.707,289.998,275.628,565.626,1,3584,3584,204800,32768,pass
preliminary_candidate_regular,big_state,goldilocks_x2,128,11,7,2,75.265,141.336,116.518,257.854,1,115280,122672,262176,32768,pass
preliminary_candidate_regular,okvs,goldilocks_x2,128,11,7,2,240.226,402.470,408.358,810.828,1,469920,476558,100352,32768,pass
preliminary_candidate_regular,dpf,goldilocks_x2,128,11,8,2,8.507,322.694,302.317,625.011,1,4096,4096,204800,32768,pass
preliminary_candidate_regular,big_state,goldilocks_x2,128,11,8,2,105.832,158.027,158.304,316.331,1,218528,226064,262176,32768,pass
preliminary_candidate_regular,okvs,goldilocks_x2,128,11,8,2,249.430,412.866,403.815,816.681,1,418160,424848,100352,32768,pass
preliminary_candidate_regular,dpf,goldilocks_x2,128,11,9,2,9.366,396.560,336.528,733.088,1,4608,4608,204800,32768,pass
preliminary_candidate_regular,big_state,goldilocks_x2,128,11,9,2,115.200,164.814,137.491,302.305,1,221424,229104,262176,32768,pass
preliminary_candidate_regular,okvs,goldilocks_x2,128,11,9,2,275.233,411.257,404.822,816.079,1,418160,424898,100352,32768,pass
preliminary_candidate_regular,dpf,goldilocks_x2,128,11,10,2,10.072,394.963,381.148,776.111,1,5120,5120,204800,32768,pass
preliminary_candidate_regular,big_state,goldilocks_x2,128,11,10,2,129.864,180.757,153.005,333.762,1,223600,231424,262176,32768,pass
preliminary_candidate_regular,okvs,goldilocks_x2,128,11,10,2,309.800,424.739,409.674,834.413,1,418160,424948,100352,32768,pass
preliminary_candidate_regular,dpf,goldilocks_x2,128,11,11,2,11.047,435.027,414.358,849.385,1,5632,5632,204800,32768,pass
preliminary_candidate_regular,big_state,goldilocks_x2,128,11,11,2,136.373,182.094,151.645,333.739,1,227184,241424,262176,32768,pass
preliminary_candidate_regular,okvs,goldilocks_x2,128,11,11,2,331.158,451.973,400.954,852.927,1,418160,431270,100352,32768,pass
preliminary_candidate_regular,dpf,goldilocks_x2,128,11,12,2,11.796,468.276,450.510,918.786,1,6144,6144,204800,32768,pass
preliminary_candidate_regular,big_state,goldilocks_x2,128,11,12,2,127.713,162.603,137.323,299.926,1,233584,247968,262176,32768,pass
preliminary_candidate_regular,okvs,goldilocks_x2,128,11,12,2,426.623,485.167,450.959,936.126,1,418160,431320,100352,32768,pass
preliminary_candidate_regular,dpf,goldilocks_x2,128,11,13,2,13.882,554.256,546.560,1100.816,1,6656,6656,204800,32768,pass
preliminary_candidate_regular,big_state,goldilocks_x2,128,11,13,2,149.315,178.447,150.239,328.686,1,245616,260144,262176,32768,pass
preliminary_candidate_regular,okvs,goldilocks_x2,128,11,13,2,421.068,420.273,416.059,836.332,1,418160,431370,100352,32768,pass
preliminary_candidate_regular,dpf,goldilocks_x2,128,11,14,2,13.217,541.529,530.592,1072.121,1,7168,7168,204800,32768,pass
preliminary_candidate_regular,big_state,goldilocks_x2,128,11,14,2,142.081,160.816,133.477,294.293,1,268912,283584,262176,32768,pass
preliminary_candidate_regular,okvs,goldilocks_x2,128,11,14,2,439.380,420.585,406.366,826.951,1,418160,431420,100352,32768,pass
preliminary_candidate_regular,dpf,goldilocks_x2,128,11,15,2,15.736,586.478,558.284,1144.762,1,7680,7680,204800,32768,pass
preliminary_candidate_regular,big_state,goldilocks_x2,128,11,15,2,159.198,160.270,142.489,302.759,1,314736,329552,262176,32768,pass
preliminary_candidate_regular,okvs,goldilocks_x2,128,11,15,2,438.244,407.805,398.458,806.263,1,418160,431470,100352,32768,pass
