prefix,keys,log_domain,modulus,root_seed_low_bit_ones,public_material_mismatch,batch_sum_mismatch,tree_pass,tree_fail,negative_control,gpu_validation
/tmp/ringlpn-two-party-gpu-dpf.ONnECJ/gpuL4_m0_b8,8,4,4611686018326724609,10,0,0,8,0,failed_as_expected,pass
/tmp/ringlpn-two-party-gpu-dpf.ONnECJ/gpuL8_m0_b16,16,8,4611686018326724609,15,0,0,16,0,failed_as_expected,pass
/tmp/ringlpn-two-party-gpu-dpf.ONnECJ/gpuL11_m0_b32,32,11,4611686018326724609,34,0,0,32,0,failed_as_expected,pass
/tmp/ringlpn-two-party-gpu-dpf.ONnECJ/gpuL11_m1_b32,32,11,4611686018309947393,33,0,0,32,0,failed_as_expected,pass
