device,n,logn,requested_qbits,actual_qbits,batch_size,iters,validation,ntt_mean_us,ntt_std_us,intt_mean_us,intt_std_us,poly_mul_mean_us,poly_mul_std_us,correct
cuda,8192,13,64,62,64,400,pass,90.2599,0.608783,84.1491,0.545484,265.267,0.964192,1
cuda,16384,14,64,62,64,400,pass,109.373,2.54018,102.865,1.74504,327.876,4.73158,1
cuda,32768,15,64,62,64,400,pass,162.621,1.83991,148.338,2.23838,478.716,3.15581,1
cuda,65536,16,64,62,16,200,pass,47.5536,1.78605,41.0738,1.40299,140.307,4.60113,1
cuda,131072,17,64,62,16,200,pass,157.978,1.67903,147.822,1.43087,469.906,4.15549,1
cuda,262144,18,64,62,8,80,pass,158.158,2.49694,147.15,2.25615,470.942,6.73779,1
cuda,524288,19,64,62,4,30,pass,159.607,1.15717,145.351,0.706598,470.598,1.72253,1
cuda,1048576,20,64,62,2,10,pass,167.626,1.24694,152.941,0.911321,491.939,1.21115,1
