device,input_mode,bin,n,chunk_size,iters,validation,full_pair_key_bytes,partial_peak_pair_key_bytes,partial_total_pair_key_bytes,peak_reduction,total_bytes_multiplier,full_pair_keygen_mean_us,full_pair_keygen_std_us,partial_pair_keygen_mean_us,partial_pair_keygen_std_us,keygen_time_overhead,correct
cuda_dpf_online,eval_all,16,8192,4096,100,pass,2949168,1474608,2949216,1.99997,1.00002,271.48,1.07219,429.79,1.62662,1.58314,1
cuda_dpf_online,eval_all,16,16384,4096,100,pass,5898288,1474608,5898432,3.9999,1.00002,378.12,1.14263,822.4,3.17805,2.17497,1
cuda_dpf_online,eval_all,16,32768,4096,100,pass,11796528,1474608,11796864,7.99977,1.00003,691.32,2.4285,1664.27,96.7536,2.40738,1
cuda_dpf_online,eval_all,16,65536,4096,50,pass,23593008,1474608,23593728,15.9995,1.00003,1234.98,1.91301,3297.32,13.3977,2.66994,1
cuda_dpf_online,eval_all,16,131072,4096,50,pass,47185968,1474608,47187456,31.999,1.00003,2412.36,40.1974,6590.14,23.3769,2.73182,1
cuda_dpf_online,eval_all,16,262144,4096,20,pass,94371888,1474608,94374912,63.9979,1.00003,4677.85,33.2585,13201.2,64.6147,2.82207,1
cuda_dpf_online,eval_all,16,524288,4096,10,pass,188743728,1474608,188749824,127.996,1.00003,9176.1,2.84429,26310,86.862,2.86723,1
cuda_dpf_online,eval_all,16,1048576,4096,3,pass,377487408,1474608,377499648,255.992,1.00003,18242.7,2.35702,53662,746.193,2.94157,1
