device,input_mode,n,logn,log_domain,requested_qbits,actual_qbits,noise_mode,spfss_domain,c,t,chunk_size,iters,validation,host_validation,spfss_pair_key_bytes,spfss_keygen_us,ole_expand_mean_us,ole_expand_std_us,correct
cuda_ringlpn_ole,figure2_spfss_uniform,8192,13,14,64,62,uniform,16384,2,64,8192,2,pass,pass,9044160,4866,881062,790.5,1
cuda_ringlpn_ole,figure2_spfss_uniform,16384,14,15,64,62,uniform,32768,2,64,8192,1,pass,skipped,9633984,4915,1.86393e+06,0,1
