device,input_mode,n,logn,log_domain,requested_qbits,actual_qbits,noise_mode,spfss_domain,c,t,chunk_size,iters,validation,host_validation,spfss_pair_key_bytes,spfss_keygen_us,ole_expand_mean_us,ole_expand_std_us,correct
cuda_ringlpn_ole,figure2_spfss_regular,8192,13,8,64,62,regular,256,2,64,8192,2,pass,pass,5529408,43599,60962.5,1202.5,1
cuda_ringlpn_ole,figure2_spfss_regular,16384,14,9,64,62,regular,512,2,64,8192,1,pass,skipped,6119232,44896,68425,0,1
