device,input_mode,bin,n,chunk_size,iters,validation,full_pair_key_bytes,partial_peak_pair_key_bytes,partial_total_pair_key_bytes,peak_reduction,total_bytes_multiplier,full_pair_keygen_mean_us,full_pair_keygen_std_us,partial_pair_keygen_mean_us,partial_pair_keygen_std_us,keygen_time_overhead,correct
cuda_dpf_online,eval_all,16,8192,8192,100,pass,2949168,2949168,2949168,1,1,274.14,7.17359,277.09,12.7138,1.01076,1
cuda_dpf_online,eval_all,16,16384,8192,100,pass,5898288,2949168,5898336,1.99998,1.00001,385.63,7.48018,532.34,2.06504,1.38044,1
cuda_dpf_online,eval_all,16,32768,8192,100,pass,11796528,2949168,11796672,3.99995,1.00001,698.3,10.9731,1082.75,37.1778,1.55055,1
cuda_dpf_online,eval_all,16,65536,8192,50,pass,23593008,2949168,23593344,7.99989,1.00001,1249.1,24.8719,2161.34,58.6087,1.73032,1
cuda_dpf_online,eval_all,16,131072,8192,50,pass,47185968,2949168,47186688,15.9998,1.00002,2411.8,31.7465,4311.74,87.8564,1.78777,1
cuda_dpf_online,eval_all,16,262144,8192,20,pass,94371888,2949168,94373376,31.9995,1.00002,4700.7,43.4731,8661.3,213.733,1.84256,1
cuda_dpf_online,eval_all,16,524288,8192,10,pass,188743728,2949168,188746752,63.999,1.00002,9237.6,41.5889,17298.6,220.275,1.87263,1
cuda_dpf_online,eval_all,16,1048576,8192,3,pass,377487408,2949168,377493504,127.998,1.00002,18244.3,1.24722,34390.3,540.236,1.88499,1
