schema_version,source_schema_version,publication_date,manifest_sha256,workload_manifest_sha256,raw_trials_sha256,binary_sha256,environment_sha256,result_schema_sha256,model,workload,population,metric,n,mean,sample_stdev,median,q1,q3,iqr,mean_ci95_low,mean_ci95_high,mean_ci95_method,quartile_method,min,max,unit
ringlpn.two-party-fc-model-scale.statistics.v2,ringlpn.two-party-fc-model-scale.v6,2026-08-10,6bd5e24f5e18eb744458d4aaf86d42a823857bc134ac1d4be25c95d49cf3c984,718570af4bf7afa523d029dfddcf0f3dae9e554c9c6e26b744999df193956f72,799f39ad2cc347a7a59a3efbe14d6ff3eaaf9dc843219414dc36d3e0a75793a1,bf4e4f9052b7575dcb6bb506d73d9786f2906881a8a74425242aca11489a18dd,fc8699fb14c3db9ecafb50e7207fea9a3057d21217b38be972c6cf48ff28a3c9,fb519e51c5e427da315ba5660588f239fd9381a3a6ce299464a50a042d7b9e43,CNN2,all-fc,passing measured aggregate rows only; warmups excluded,protocol_dependency_rounds,10,72278,0,72278,72278,72278,0,72278,72278,two-sided Student t confidence interval for the arithmetic mean; confidence=0.95; df=n-1,R-7 inclusive linear interpolation at probabilities 0.25 and 0.75,72278,72278,rounds
ringlpn.two-party-fc-model-scale.statistics.v2,ringlpn.two-party-fc-model-scale.v6,2026-08-10,6bd5e24f5e18eb744458d4aaf86d42a823857bc134ac1d4be25c95d49cf3c984,718570af4bf7afa523d029dfddcf0f3dae9e554c9c6e26b744999df193956f72,799f39ad2cc347a7a59a3efbe14d6ff3eaaf9dc843219414dc36d3e0a75793a1,bf4e4f9052b7575dcb6bb506d73d9786f2906881a8a74425242aca11489a18dd,fc8699fb14c3db9ecafb50e7207fea9a3057d21217b38be972c6cf48ff28a3c9,fb519e51c5e427da315ba5660588f239fd9381a3a6ce299464a50a042d7b9e43,CNN2,all-fc,passing measured aggregate rows only; warmups excluded,critical_path_preflight_us,10,261.1509,108.79366897067126672205450394503715302610661974791,238.247,189.42025,364.927,175.50675,183.32459757594412380202340628001815485060376734085,338.97720242405587619797659371998184514939623265915,two-sided Student t confidence interval for the arithmetic mean; confidence=0.95; df=n-1,R-7 inclusive linear interpolation at probabilities 0.25 and 0.75,84.093,409.652,us
ringlpn.two-party-fc-model-scale.statistics.v2,ringlpn.two-party-fc-model-scale.v6,2026-08-10,6bd5e24f5e18eb744458d4aaf86d42a823857bc134ac1d4be25c95d49cf3c984,718570af4bf7afa523d029dfddcf0f3dae9e554c9c6e26b744999df193956f72,799f39ad2cc347a7a59a3efbe14d6ff3eaaf9dc843219414dc36d3e0a75793a1,bf4e4f9052b7575dcb6bb506d73d9786f2906881a8a74425242aca11489a18dd,fc8699fb14c3db9ecafb50e7207fea9a3057d21217b38be972c6cf48ff28a3c9,fb519e51c5e427da315ba5660588f239fd9381a3a6ce299464a50a042d7b9e43,CNN2,all-fc,passing measured aggregate rows only; warmups excluded,critical_path_ot_setup_us,10,42626.53,4771.4875330329522814125524234120006492482312997897,40439.45,39339.55,45801.975,6462.425,39213.213441491957608944231171115218056058318738408,46039.846558508042391055768828884781943941681261592,two-sided Student t confidence interval for the arithmetic mean; confidence=0.95; df=n-1,R-7 inclusive linear interpolation at probabilities 0.25 and 0.75,37301.4,51363.5,us
ringlpn.two-party-fc-model-scale.statistics.v2,ringlpn.two-party-fc-model-scale.v6,2026-08-10,6bd5e24f5e18eb744458d4aaf86d42a823857bc134ac1d4be25c95d49cf3c984,718570af4bf7afa523d029dfddcf0f3dae9e554c9c6e26b744999df193956f72,799f39ad2cc347a7a59a3efbe14d6ff3eaaf9dc843219414dc36d3e0a75793a1,bf4e4f9052b7575dcb6bb506d73d9786f2906881a8a74425242aca11489a18dd,fc8699fb14c3db9ecafb50e7207fea9a3057d21217b38be972c6cf48ff28a3c9,fb519e51c5e427da315ba5660588f239fd9381a3a6ce299464a50a042d7b9e43,CNN2,all-fc,passing measured aggregate rows only; warmups excluded,critical_path_dpf_phase_a_us,10,1741644.82,4903.6276920029091639465528691837428605818254557808,1739679.65,1737765.85,1745939.775,8173.925,1738136.9760662167377582659181825080539594301742023,1745152.6639337832622417340818174919460405698257977,two-sided Student t confidence interval for the arithmetic mean; confidence=0.95; df=n-1,R-7 inclusive linear interpolation at probabilities 0.25 and 0.75,1736502.4,1750002.6,us
ringlpn.two-party-fc-model-scale.statistics.v2,ringlpn.two-party-fc-model-scale.v6,2026-08-10,6bd5e24f5e18eb744458d4aaf86d42a823857bc134ac1d4be25c95d49cf3c984,718570af4bf7afa523d029dfddcf0f3dae9e554c9c6e26b744999df193956f72,799f39ad2cc347a7a59a3efbe14d6ff3eaaf9dc843219414dc36d3e0a75793a1,bf4e4f9052b7575dcb6bb506d73d9786f2906881a8a74425242aca11489a18dd,fc8699fb14c3db9ecafb50e7207fea9a3057d21217b38be972c6cf48ff28a3c9,fb519e51c5e427da315ba5660588f239fd9381a3a6ce299464a50a042d7b9e43,CNN2,all-fc,passing measured aggregate rows only; warmups excluded,critical_path_dpf_phase_b_us,10,14053982.8,44907.020502366887711848950684219836390557567028804,14053515.5,14011299.75,14091727.75,80428,14021858.252757065713794458811337695705235710694431,14086107.347242934286205541188662304294764289305569,two-sided Student t confidence interval for the arithmetic mean; confidence=0.95; df=n-1,R-7 inclusive linear interpolation at probabilities 0.25 and 0.75,14002222,14121401,us
ringlpn.two-party-fc-model-scale.statistics.v2,ringlpn.two-party-fc-model-scale.v6,2026-08-10,6bd5e24f5e18eb744458d4aaf86d42a823857bc134ac1d4be25c95d49cf3c984,718570af4bf7afa523d029dfddcf0f3dae9e554c9c6e26b744999df193956f72,799f39ad2cc347a7a59a3efbe14d6ff3eaaf9dc843219414dc36d3e0a75793a1,bf4e4f9052b7575dcb6bb506d73d9786f2906881a8a74425242aca11489a18dd,fc8699fb14c3db9ecafb50e7207fea9a3057d21217b38be972c6cf48ff28a3c9,fb519e51c5e427da315ba5660588f239fd9381a3a6ce299464a50a042d7b9e43,CNN2,all-fc,passing measured aggregate rows only; warmups excluded,critical_path_dpf_phase_c_us,10,242347.42,2356.8813460918128187236978458128890791056808867826,241569.05,240887.025,243917.775,3030.75,240661.40865251979041553485511096408239147381968346,244033.43134748020958446514488903591760852618031654,two-sided Student t confidence interval for the arithmetic mean; confidence=0.95; df=n-1,R-7 inclusive linear interpolation at probabilities 0.25 and 0.75,238678.1,245905.8,us
ringlpn.two-party-fc-model-scale.statistics.v2,ringlpn.two-party-fc-model-scale.v6,2026-08-10,6bd5e24f5e18eb744458d4aaf86d42a823857bc134ac1d4be25c95d49cf3c984,718570af4bf7afa523d029dfddcf0f3dae9e554c9c6e26b744999df193956f72,799f39ad2cc347a7a59a3efbe14d6ff3eaaf9dc843219414dc36d3e0a75793a1,bf4e4f9052b7575dcb6bb506d73d9786f2906881a8a74425242aca11489a18dd,fc8699fb14c3db9ecafb50e7207fea9a3057d21217b38be972c6cf48ff28a3c9,fb519e51c5e427da315ba5660588f239fd9381a3a6ce299464a50a042d7b9e43,CNN2,all-fc,passing measured aggregate rows only; warmups excluded,critical_path_spfss_grouping_us,10,14181.4416,260.30154322255648979175097186423264862608216863644,14207.228,14026.4325,14310.79575,284.36325,13995.233093420923296583906034989336152918265823305,14367.650106579076703416093965010663847081734176695,two-sided Student t confidence interval for the arithmetic mean; confidence=0.95; df=n-1,R-7 inclusive linear interpolation at probabilities 0.25 and 0.75,13693.377,14623.563,us
ringlpn.two-party-fc-model-scale.statistics.v2,ringlpn.two-party-fc-model-scale.v6,2026-08-10,6bd5e24f5e18eb744458d4aaf86d42a823857bc134ac1d4be25c95d49cf3c984,718570af4bf7afa523d029dfddcf0f3dae9e554c9c6e26b744999df193956f72,799f39ad2cc347a7a59a3efbe14d6ff3eaaf9dc843219414dc36d3e0a75793a1,bf4e4f9052b7575dcb6bb506d73d9786f2906881a8a74425242aca11489a18dd,fc8699fb14c3db9ecafb50e7207fea9a3057d21217b38be972c6cf48ff28a3c9,fb519e51c5e427da315ba5660588f239fd9381a3a6ce299464a50a042d7b9e43,CNN2,all-fc,passing measured aggregate rows only; warmups excluded,critical_path_public_polynomial_exchange_us,10,325750.8,2539.9634376196135403386366748462499829636606362604,325835.2,325214.55,327332.625,2118.075,323933.81961398582523513420633957309617231784847249,327567.78038601417476486579366042690382768215152751,two-sided Student t confidence interval for the arithmetic mean; confidence=0.95; df=n-1,R-7 inclusive linear interpolation at probabilities 0.25 and 0.75,319426.7,328806.3,us
ringlpn.two-party-fc-model-scale.statistics.v2,ringlpn.two-party-fc-model-scale.v6,2026-08-10,6bd5e24f5e18eb744458d4aaf86d42a823857bc134ac1d4be25c95d49cf3c984,718570af4bf7afa523d029dfddcf0f3dae9e554c9c6e26b744999df193956f72,799f39ad2cc347a7a59a3efbe14d6ff3eaaf9dc843219414dc36d3e0a75793a1,bf4e4f9052b7575dcb6bb506d73d9786f2906881a8a74425242aca11489a18dd,fc8699fb14c3db9ecafb50e7207fea9a3057d21217b38be972c6cf48ff28a3c9,fb519e51c5e427da315ba5660588f239fd9381a3a6ce299464a50a042d7b9e43,CNN2,all-fc,passing measured aggregate rows only; warmups excluded,critical_path_gpu_ringlpn_expansion_us,10,8135898.3,11342.509423011783908310841358805368514396735796117,8135050.5,8125612.5,8143983,18370.5,8127784.357553211205060834221471772598488152079285,8144012.242446788794939165778528227401511847920715,two-sided Student t confidence interval for the arithmetic mean; confidence=0.95; df=n-1,R-7 inclusive linear interpolation at probabilities 0.25 and 0.75,8122600,8151483,us
ringlpn.two-party-fc-model-scale.statistics.v2,ringlpn.two-party-fc-model-scale.v6,2026-08-10,6bd5e24f5e18eb744458d4aaf86d42a823857bc134ac1d4be25c95d49cf3c984,718570af4bf7afa523d029dfddcf0f3dae9e554c9c6e26b744999df193956f72,799f39ad2cc347a7a59a3efbe14d6ff3eaaf9dc843219414dc36d3e0a75793a1,bf4e4f9052b7575dcb6bb506d73d9786f2906881a8a74425242aca11489a18dd,fc8699fb14c3db9ecafb50e7207fea9a3057d21217b38be972c6cf48ff28a3c9,fb519e51c5e427da315ba5660588f239fd9381a3a6ce299464a50a042d7b9e43,CNN2,all-fc,passing measured aggregate rows only; warmups excluded,critical_path_derandomization_openings_us,10,599709.86,2765.6211250117234941411169743643454247708423900354,599514.15,597919.625,600570.975,2651.35,597731.45382892451046484224733030599783250226212942,601688.26617107548953515775266969400216749773787058,two-sided Student t confidence interval for the arithmetic mean; confidence=0.95; df=n-1,R-7 inclusive linear interpolation at probabilities 0.25 and 0.75,596381.5,606316.1,us
