party,c,t,noise_mode,log_domain,groups,trees,string_ots_per_tree,bit_triples_per_tree,scalar_oles_per_tree,logical_opened_bits_per_tree,meaningful_share_bits_per_tree,base_ots,channel_open_bytes_sent,channel_open_direction_switches,agreement_bytes_sent,agreement_direction_switches,setup_bytes_sent,setup_direction_switches,protocol_bytes_sent,protocol_direction_switches,final_sync_bytes_sent,final_sync_direction_switches,transport_bytes_sent,transport_direction_switches,keygen_us,sid,noise_source,local_noise_sha256,noise_content_sha256,public_manifest_sha256,common_cw_sha256,transcript_accounting,status
0,2,8,uniform,14,1,256,28.0,13.0,3.0,1908.0,3816.0,256,0,0,105,4,21829,5,1033792,87,4,8,1055730,104,610131.5,1786407591463845464,independent_os_drbg,f36e7170e7147ebbe396792e3ade05393b2544508a6da0361340ce0eaedf827a,7a26e1729e1bacf6438cf481a2eb883c3ba2f4844d1b8fa3c9936c72d14de86e,92053c2c5877f8ed2f398baf8ecba3444064be114e858be5b4f50f5c4a0d7b24,49c2f09a4d735b965031910053596eae6b4cf5d79a5b455602f30e05358a4f9f,pass,pass
1,2,8,uniform,14,1,256,28.0,13.0,3.0,1908.0,3816.0,256,0,0,105,4,21829,5,1073984,87,4,8,1095922,104,610843.0,1786407591463845464,independent_os_drbg,f3247fcb9ca12c4a158f196b90c65d64fc8e22ea6219cbe0a6d900a693c862f1,97925d4ad7a4de56186e28e57556bbd35b7664e9e1273b3ff0fd0659e06ceb1f,92053c2c5877f8ed2f398baf8ecba3444064be114e858be5b4f50f5c4a0d7b24,49c2f09a4d735b965031910053596eae6b4cf5d79a5b455602f30e05358a4f9f,pass,pass
0,2,8,uniform,14,1,256,28.0,13.0,3.0,1908.0,3816.0,256,0,0,105,4,21829,5,1033792,87,4,8,1055730,104,705818.1,1786407591463845465,independent_os_drbg,6ed61ebbd1287c3d34120b32b49a63d4b8968186f8671569330b070bdc14d0ee,e2b4a4fc9654c294bed0acd0da311e78c9c866a96e4b06ec13921ca184a3a2bb,2684664b26d34e73a323185de05e0eaf30427e78bfec20602ee05d81ffd71269,74507f69c1c88923a613e642a4346062cb2fc6dad1565ddd33c17ba48dd0aaa2,pass,pass
1,2,8,uniform,14,1,256,28.0,13.0,3.0,1908.0,3816.0,256,0,0,105,4,21829,5,1073984,87,4,8,1095922,104,705987.1,1786407591463845465,independent_os_drbg,dc7f2a25e529c6be11a6e05237aa185b690dffc04e338331c5f3130d10097b1d,214128531011fb54e1a94f794adbd38c3f0e6cb88c18c232cc732c23916396aa,2684664b26d34e73a323185de05e0eaf30427e78bfec20602ee05d81ffd71269,74507f69c1c88923a613e642a4346062cb2fc6dad1565ddd33c17ba48dd0aaa2,pass,pass
